canonical_term,display_label,type,category,source,source_detail,priority_tier,core_or_fringe,part_of_speech,phrase_pos,ui_tab,intent_tags,scenario_tags,allowed_for_generation,allowed_for_grid,requires_personalization,synonyms_or_variants,phrase_templates,notes
boat,Boat,word,Vehicles,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,noun,,things,description/labeling,,Yes,Yes,No,,,Typical 1 word expressions from Faison
books,Books,word,Social,Faison SLP collected words,,Tier 2 - Faison expansion,core,noun,,things,social,,Yes,Yes,No,,,Typical 1 word expressions from Faison
bored,Bored,word,Feelings,AMIGA-AAC Meaning Room,,Tier 2 - Faison expansion,core,descriptor/adjective,,feelings,emotional expression,,Yes,Yes,No,,I feel bored; I am bored,Tier 2 feeling
bubbles,Bubbles,word,Preferred Items,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,noun,,things,description/labeling,,Yes,Yes,Yes,,I want ___; I need ___,Typical 1 word expressions from Faison
bus,Bus,word,People/Pronouns/Possessives,Faison SLP collected words,,Tier 2 - Faison expansion,core,noun,,things,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
calm,Calm,word,Feelings,AMIGA-AAC Meaning Room,,Tier 2 - Faison expansion,core,descriptor/adjective,,feelings,emotional expression; regulation,,Yes,Yes,No,relaxed; peaceful,I feel calm; I am calm,Tier 2 feeling; regulation target state
candy,Candy,word,Food/Drink,Faison SLP collected words; Marvin 330 preschool words,,Tier 2 - Faison expansion,fringe/personalizable,noun,,things,general vocabulary,,Yes,Yes,No,,I want ___; I need ___,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
car,Car,word,Preferred Items,Faison SLP collected words; Marvin 330 preschool words,,Tier 2 - Faison expansion,fringe/personalizable,noun,,things,description/labeling,,Yes,Yes,Yes,,I want ___; I need ___,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
carrot,Carrot,word,Food/Drink,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,noun,,things,general vocabulary,,Yes,Yes,No,,I want ___; I need ___,Typical 1 word expressions from Faison
chips,Chips,word,Social,Faison SLP collected words,,Tier 2 - Faison expansion,core,noun,,things,social,,Yes,Yes,No,,,Typical 1 word expressions from Faison
classroom,Classroom,word,Places,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,noun,,things,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
coat,Coat,word,Clothing,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,noun,,things,description/labeling,,Yes,Yes,No,,I want ___; I need ___,Typical 1 word expressions from Faison
confused,Confused,word,Feelings,AMIGA-AAC Meaning Room,,Tier 2 - Faison expansion,core,descriptor/adjective,,feelings,emotional expression,,Yes,Yes,No,,I feel confused; I am confused,Tier 2 feeling; important for self-advocacy
cookie,Cookie,word,Social,Faison SLP collected words; Marvin 330 preschool words,,Tier 2 - Faison expansion,core,noun,,things,social,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
dad,Dad,word,People/Pronouns/Possessives,Faison SLP collected words,,Tier 2 - Faison expansion,core,pronoun/person,,people,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
do,Do,word,Actions,Faison SLP collected words; Marvin 330 preschool words,,Tier 2 - Faison expansion,core,verb/action,,actions,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
dog,Dog,word,Actions,Faison SLP collected words; Marvin 330 preschool words,,Tier 2 - Faison expansion,core,noun,,things,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
doll,Doll,word,Actions,Faison SLP collected words,,Tier 2 - Faison expansion,core,noun,,things,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
down,Down,word,Actions,Faison SLP collected words; Marvin 330 preschool words,,Tier 2 - Faison expansion,core,location/preposition,,more,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
ear,Ear,word,Body Parts,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,noun,,things,description/labeling,,Yes,Yes,No,,,Typical 1 word expressions from Faison
excited,Excited,word,Feelings,AMIGA-AAC Meaning Room,,Tier 2 - Faison expansion,core,descriptor/adjective,,feelings,emotional expression,,Yes,Yes,No,hyped,I feel excited; I am excited,Tier 2 feeling; positive arousal state
eye,Eye,word,Body Parts,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,noun,,things,description/labeling,,Yes,Yes,No,,,Typical 1 word expressions from Faison
fast,Fast,word,Descriptors,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,descriptor/adjective,,more,description/labeling,,Yes,Yes,No,,,Typical 1 word expressions from Faison
fine,Fine,word,Places,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,descriptor/adjective,,feelings,general vocabulary,,Yes,Yes,No,OK/Fine,,Variant from slash-delimited Faison row
fruit,Fruit,word,Food/Drink,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,noun,,things,general vocabulary,,Yes,Yes,No,,I want ___; I need ___,Typical 1 word expressions from Faison
game,Game,word,Preferred Items,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,noun,,things,description/labeling,,Yes,Yes,Yes,Toy/Game,I want ___; I need ___,Variant from slash-delimited Faison row
green,Green,word,Descriptors,Faison SLP collected words; Marvin 330 preschool words,,Tier 2 - Faison expansion,fringe/personalizable,descriptor/adjective,,more,description/labeling,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
gym,Gym,word,Places,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,noun,,things,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
hand,Hand,word,Body Parts,Faison SLP collected words; Marvin 330 preschool words,,Tier 2 - Faison expansion,fringe/personalizable,noun,,things,description/labeling,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
hat,Hat,word,Clothing,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,noun,,things,description/labeling,,Yes,Yes,No,,I want ___; I need ___,Typical 1 word expressions from Faison
help me / i'm frustrated,Help me / I'm frustrated,phrase,Actions,Validation scenarios,,Tier 2 - Faison expansion,core,phrase,verb/action,actions,help-seeking; regulation/body need,Frustration,Yes,Yes,No,,,Emotional expression
hi / hello,Hi / Hello,phrase,Social,Validation scenarios,,Tier 2 - Faison expansion,core,phrase,word,core,social,Greeting,Yes,Yes,No,,,Social initiation
home,Home,word,Places,Faison SLP collected words; Marvin 330 preschool words,,Tier 2 - Faison expansion,fringe/personalizable,noun,,things,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
hug,Hug,word,Actions,Faison SLP collected words,,Tier 2 - Faison expansion,core,verb/action,,actions,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
i am tired,I am tired,phrase,Descriptors,Validation scenarios,,Tier 2 - Faison expansion,fringe/personalizable,phrase,descriptor/adjective,feelings,regulation/body need; description/labeling,Tired,Yes,Yes,No,,,Simple expression
i don't want that,I don't want that,phrase,Actions,Validation scenarios,,Tier 2 - Faison expansion,core,phrase,verb/action,actions,request; refusal/protest,Rejecting,Yes,Yes,No,No / I don't want that,,Clear refusal
i found something,I found something,phrase,Places,Validation scenarios,,Tier 2 - Faison expansion,fringe/personalizable,phrase,verb/action,actions,social,Sharing information,Yes,Yes,No,,,Expressive language
i like this,I like this,phrase,Actions,Validation scenarios,,Tier 2 - Faison expansion,core,phrase,verb/action,actions,social,Happy,Yes,Yes,No,,,Positive emotion
i need help,I need help,phrase,Actions,Validation scenarios,,Tier 2 - Faison expansion,core,phrase,verb/action,actions,help-seeking,Emotional escalation,Yes,Yes,No,I need help / stop,,Safety + regulation
i need help / stop,I need help / stop,phrase,Actions,Validation scenarios,,Tier 2 - Faison expansion,core,phrase,verb/action,actions,refusal/protest; help-seeking,Emotional escalation,Yes,Yes,No,,,Safety + regulation
i want a jacket,I want a jacket,phrase,Actions,Validation scenarios,,Tier 2 - Faison expansion,core,phrase,verb/action,actions,request,Request item,Yes,Yes,No,,,Basic request
i want apple,I want apple,phrase,Actions,Validation scenarios,,Tier 2 - Faison expansion,core,phrase,verb/action,actions,request,Choice selection,Yes,Yes,No,,,Decision making
i want food,I want food,phrase,Actions,Validation scenarios,,Tier 2 - Faison expansion,core,phrase,verb/action,actions,request,Snack request,Yes,Yes,No,,,Simple AAC (≤100 words)
i'm frustrated,I'm frustrated,phrase,People/Pronouns/Possessives,Validation scenarios,,Tier 2 - Faison expansion,core,phrase,descriptor/adjective,feelings,regulation/body need,Frustration,Yes,Yes,No,Help me / I'm frustrated,,Emotional expression
in,In,word,Places,Faison SLP collected words; Marvin 330 preschool words,,Tier 2 - Faison expansion,fringe/personalizable,location/preposition,,more,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
ipad,iPad,word,Preferred Items,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,noun,,things,description/labeling,,Yes,Yes,Yes,,I want ___; I need ___,Typical 1 word expressions from Faison
jacket,Jacket,word,Clothing,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,noun,,things,request; description/labeling,,Yes,Yes,No,,I want ___; I need ___,Typical 1 word expressions from Faison
juice,juice,word,Food/Drink,Faison SLP collected words; Marvin 330 preschool words,,Tier 2 - Faison expansion,fringe/personalizable,noun,,things,general vocabulary,,Yes,Yes,No,Water/juice,I want ___; I need ___,Variant from slash-delimited Faison row; Reference expansion from Marvin et al. 330 preschool words
jump,Jump,word,Actions,Faison SLP collected words; Marvin 330 preschool words,,Tier 2 - Faison expansion,core,verb/action,,actions,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
leg,Leg,word,Body Parts,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,noun,,things,description/labeling,,Yes,Yes,No,,,Typical 1 word expressions from Faison
like,Like,word,Actions,Faison SLP collected words; Marvin 330 preschool words,,Tier 2 - Faison expansion,core,verb/action,,actions,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
little,Little,word,Descriptors,Faison SLP collected words; Marvin 330 preschool words,,Tier 2 - Faison expansion,fringe/personalizable,descriptor/adjective,,more,description/labeling,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
look at me,Look at me,phrase,Actions,Validation scenarios,,Tier 2 - Faison expansion,core,phrase,verb/action,actions,social,Attention seeking,Yes,Yes,No,,,Social bid
make,Make,word,Actions,Faison SLP collected words; Marvin 330 preschool words,,Tier 2 - Faison expansion,core,verb/action,,actions,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
mom,Mom,word,People/Pronouns/Possessives,Faison SLP collected words; Marvin 330 preschool words,,Tier 2 - Faison expansion,core,pronoun/person,,people,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
mouth,Mouth,word,Places,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,noun,,things,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
music,Music,word,Preferred Items,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,noun,,things,description/labeling,,Yes,Yes,Yes,,I want ___; I need ___,Typical 1 word expressions from Faison
my turn,My turn,phrase,Actions,Validation scenarios,,Tier 2 - Faison expansion,core,phrase,noun,actions,social,Turn taking,Yes,Yes,No,,My turn; I like this; Hi / Hello,Social interaction
no / i don't want that,No / I don't want that,phrase,Actions,Validation scenarios,,Tier 2 - Faison expansion,core,phrase,negation/repair,actions,request; refusal/protest,Rejecting,Yes,Yes,No,,,Clear refusal
nose,Nose,word,Body Parts,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,noun,,things,refusal/protest; description/labeling,,Yes,Yes,No,,,Typical 1 word expressions from Faison
off,Off,word,Places,Faison SLP collected words; Marvin 330 preschool words,,Tier 2 - Faison expansion,fringe/personalizable,location/preposition,,more,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
ok/fine,OK/Fine,phrase,Places,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,phrase,word,core,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
one more minute,One more minute,phrase,Actions,Validation scenarios,,Tier 2 - Faison expansion,core,phrase,noun,more,request,Transition resistance,Yes,Yes,No,,,Negotiation
orange,Orange,word,Descriptors,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,descriptor/adjective,,more,description/labeling,,Yes,Yes,No,,,Typical 1 word expressions from Faison
out,Out,word,Places,Faison SLP collected words; Marvin 330 preschool words,,Tier 2 - Faison expansion,fringe/personalizable,location/preposition,,more,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
pants,Pants,word,Clothing,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,noun,,things,description/labeling,,Yes,Yes,No,,I want ___; I need ___,Typical 1 word expressions from Faison
pink,Pink,word,Places,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,descriptor/adjective,,more,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
